a	một cái, một con 
delay	trì hoãn
delayed	trì hoãn
delegate	ủy nhiệm
delegation	phái đoàn
delete	xóa bỏ
deleterious	có hại
deletion	sự xóa bỏ
deli	đồ nguội
deliberate	cố ý
deliberately	thong thả
deliberation	sự cân nhắc
deliberative	có chủ ý
delicacy	tinh vi
delicate	mong manh
delicately	tế nhị
delicious	ngon
delight	Hân hoan
delighted	vui mừng
delightful	thú vị
delimit	phân định
delineate	khoanh vùng
delineation	sự phân định
delinquency	phạm pháp
delinquent	phạm pháp
delirium	mê sảng
deliver	giao
deliverance	sự giải thoát
delivery	chuyển
delta	đồng bằng
delude	si mê
deluge	trận lụt lớn
delusion	ảo tưởng
delusional	ảo tưởng
deluxe	sang trọng
delve	đào sâu
demand	nhu cầu
demanding	đòi hỏi
demarcate	phân ranh giới
demarcation	sự phân ranh giới
demean	demean
demeaning	hạ thấp
demeanor	phong thái
dementia	sa sút trí tuệ
demise	cái chết của
demo	bản giới thiệu
demobilization	giải ngũ
democracy	nền dân chủ
Democrat	Đảng viên dân chủ
democratic	dân chủ
democratically	một cách dân chủ
democratization	dân chủ hóa
democratize	dân chủ hóa
demographer	nhà nhân khẩu học
demographic	nhân khẩu học
demographically	về mặt nhân khẩu học
demographics	nhân khẩu học
demography	nhân khẩu học
demolish	phá hủy
demolition	phá dỡ
demon	con quỷ
demonic	ma quỷ
demonize	quỷ hóa
demonstrable	có thể chứng minh
demonstrably	một cách rõ ràng
demonstrate	chứng minh
demonstrated	chứng minh
demonstration	cuộc biểu tình
demonstrator	người biểu tình
demoralize	mất tinh thần
demote	hạ cấp
demystify	làm sáng tỏ
den	den
dengue	bệnh sốt xuất huyết
denial	từ chối
denigrate	gièm pha
denigration	sự gièm pha
denim	vải denim
denizen	từ chối
denomination	mệnh giá
denominational	giáo phái
denominator	mẫu số
denote	chứng tỏ
denouement	biểu thị
denounce	tố cáo
dense	ngu độn
densely	dày đặc
density	Tỉ trọng
dent	sứt mẻ
dental	nha khoa
dentist	bác sĩ nha khoa
dentistry	nha khoa
denunciation	tố cáo
deny	từ chối
depart	khởi hành
department	phòng
departmental	phòng ban
departure	sự khởi hành
depend	lệ thuộc
dependability	đáng tin cậy
dependable	đáng tin cậy
dependence	sự phụ thuộc
dependency	sự phụ thuộc
dependent	sự phụ thuộc
depending	tùy
depersonalization	nhân cách hóa
depict	miêu tả
depiction	sự miêu tả
deplete	triệt binh
depleted	cạn kiệt
depletion	cạn kiệt
deplorable	thương tâm
deplore	sự chán nản
deploy	triển khai
deployment	triển khai
deport	trục xuất
deportation	trục xuất
depose	hạ bệ
deposit	đặt cọc
deposition	lắng đọng
depositor	người gửi tiền
depot	kho chứa
depravity	sa đọa
depreciate	mất giá
depreciation	khấu hao
depredation	sa thải
depress	chán nản
depressed	trầm cảm
depressing	chán nản
depression	Phiền muộn
depressive	trầm cảm
deprivation	tước đoạt
deprive	tước đoạt
deprived	tước đoạt
depth	chiều sâu
deputy	phó
derail	trật bánh
deregulate	bãi bỏ quy định
deregulation	bãi bỏ quy định
deride	dẫn xuất
derision	chế nhạo
derivation	nguồn gốc
derivative	phát sinh
derive	lấy được
derived	nguồn gốc
dermal	da
dermatitis	viêm da
dermatologist	bác sĩ da liễu
dermatology	da liễu
derogatory	xúc phạm
desalination	khử muối
descend	hạ xuống
descendant	con cháu
descendent	con cháu
descending	giảm dần
descent	hạ xuống
describe	diễn tả
description	sự mô tả
descriptive	mô tả
descriptor	bộ mô tả
desecration	sự mạo phạm
desegregation	tách biệt
desert	hoang mạc
deserted	hoang vu
desertification	sa mạc hóa
desertion	sự đào ngũ
deserve	xứng đáng
deserving	xứng đáng
desiccation	sự làm khô
design	thiết kế
designate	chỉ định
designated	chỉ định
designation	sự chỉ định
designer	nhà thiết kế
desirability	sự thèm khát
desirable	mong muốn
desire	sự mong muốn
desired	mong muốn
desk	bàn
desktop	máy tính để bàn
desolate	hoang tàn
desolation	phiền muộn
despair	tuyệt vọng
desperate	tuyệt vọng
desperately	tuyệt vọng
desperation	tuyệt vọng
despise	khinh thường
despised	khinh thường
despite	cho dù
despotic	chuyên quyền
despotism	chế độ chuyên quyền
dessert	món tráng miệng
destabilization	sự mất ổn định
destabilize	làm mất ổn định
destination	điểm đến
destine	định mệnh
destiny	vận mạng
destitute	nghèo túng
destroy	hủy hoại
destroyer	kẻ huỷ diệt
destruction	sự phá hủy
destructive	phá hoại
detach	tách ra
detached	tách ra
detachment	tách ra
detail	chi tiết
detailed	chi tiết
detain	giam
detainee	người bị giam giữ
detect	phát hiện
detectable	có thể phát hiện được
detection	dò tìm
detective	thám tử
detector	máy dò
detente	detente
detention	giam giữ
deter	ngăn cản
detergent	chất tẩy rửa
deteriorate	xấu đi
deteriorating	xấu đi
deterioration	giảm giá trị
determinant	bản ngã
determinate	xác định
determination	sự quyết tâm
determine	quyết tâm
determined	xác định
determining	xác định
determinism	thuyết định mệnh
deterministic	xác định
deterrence	nản lòng
deterrent	răn đe
detest	ghê tởm
detonate	nổ
detonation	sự phát nổ
detour	đường vòng
detoxification	giải độc
detoxify	giải độc
detract	gièm pha
detractor	kẻ gièm pha
detriment	làm hại
detrimental	bất lợi
detritus	mảnh vụn
deuterium	đơteri
devaluation	phá giá
devalue	phá giá
devastate	tàn phá
devastating	tàn phá
devastation	sự tàn phá
develop	tiến triển
developed	đã phát triển
developer	người phát triển
developing	đang phát triển
development	sự phát triển
developmental	phát triển
developmentally	phát triển
deviance	sự lệch lạc
deviant	lệch lạc
deviate	đi chệch hướng
deviation	lệch lạc
device	thiết bị
devil	ác quỷ
devise	nghĩ ra
devoid	không có
devolution	sự phân chia
devolve	phát triển
devote	cống hiến
devoted	hết lòng
devotee	người sùng đạo
devotion	sự tận tâm
devotional	tận tâm
devour	ăn tươi nuốt sống
devout	sùng đạo
dew	sương
dexterity	khéo léo
diabetes	Bệnh tiểu đường
diabetic	bệnh nhân tiểu đường
diachronic	diachronic
diagnose	chẩn đoán
diagnosis	chẩn đoán
diagnostic	chẩn đoán
diagnostics	chẩn đoán
diagonal	đường chéo
diagram	biểu đồ
dial	quay số
dialect	thổ ngữ
dialectic	phép biện chứng
dialectical	biện chứng
dialog	hộp thoại
dialogic	đối thoại
dialogical	đối thoại
dialogue	hội thoại
dialysis	lọc máu
diameter	đường kính
diametrically	xuyên tâm
diamond	kim cương
diaper	tã lót
diaphragm	màng ngăn
diarrhea	bệnh tiêu chảy
diarrhoea	bệnh tiêu chảy
diary	Nhật ký
diaspora	diaspora
diasporic	diasporic
diastolic	tâm trương
diatribe	đấu khẩu
dice	xúc xắc
dichotomize	phân đôi
dichotomous	phân đôi
dichotomy	sự phân đôi
dick	tinh ranh
dictate	ra lệnh
dictation	chính tả
dictator	nhà độc tài
dictatorial	độc tài
dictatorship	chế độ độc tài
diction	sự thay đổi
dictionary	từ điển
dictum	châm ngôn
didactic	giáo huấn
die	chết
dielectric	chất điện môi
diesel	dầu diesel
diet	ăn kiêng
dietary	ăn kiêng
dietetic	ăn kiêng
dietitian	chuyên gia dinh dưỡng
differ	khác nhau
difference	Sự khác biệt
different	khác nhau
differential	sự khác biệt
differentially	khác biệt
differentiate	phân biệt
differentiated	phân biệt
differentiating	phân biệt
differentiation	sự khác biệt
differently	khác biệt
differing	khác nhau
difficult	khó
difficulty	khó khăn
diffraction	nhiễu xạ
diffuse	khuếch tán
diffuser	máy khuếch tán
diffusion	khuếch tán
dig	đào
digest	tiêu
digester	lò đào
digestion	tiêu hóa
digestive	tiêu hóa
digger	thợ đào
digging	đào bới
digit	chữ số
digital	kỹ thuật số
digitally	kỹ thuật số
digitize	số hóa
digitized	số hóa
dignified	đứng đắn, nghiêm túc
dignitary	chức sắc
dignity	phẩm giá
digression	lạc đề
dike	đê
dilapidated	đổ nát
dilate	giãn ra
dilation	sự giãn nở
dilemma	tình trạng khó xử
diligence	siêng năng
diligent	siêng năng
diligently	siêng năng
dilute	pha loãng
dilution	pha loãng
dim	lờ mờ
dime	đồng xu
dimension	kích thước
dimensional	chiều
diminish	giảm bớt
diminished	giảm dần
diminishing	giảm dần
diminution	sự nhỏ đi
diminutive	nhỏ bé
dimly	lờ mờ
din	din
dine	ăn cơm trưa
diner	quán ăn
dining	ăn uống
dinner	bữa ăn tối
dinosaur	khủng long
diocesan	giáo phận
diocese	giáo khu
diode	diode
dioxide	điôxít
dioxin	dioxin
dip	nhúng, dìm
diploma	bằng cấp
diplomacy	ngoại giao
diplomat	nhà ngoại giao
diplomatic	ngoại giao
diplomatically	ngoại giao
dipole	lưỡng cực
dipper	gáo
dire	tàn khốc
direct	trực tiếp
directed	Chỉ đạo
direction	phương hướng
directional	định hướng
directive	chỉ thị
directly	trực tiếp
directness	sự bộc trực
director	giám đốc
directorate	ban giám đốc
directory	danh mục
dirt	chất bẩn
dirty	dơ bẩn
disability	khuyết tật
disable	vô hiệu
disabled	Vô hiệu hóa
disabling	vô hiệu hóa
disadvantage	điều bất lợi
disadvantaged	thiệt thòi
disaffected	không bằng lòng
disaffection	không bằng lòng
disagree	không đồng ý
disagreement	bất đồng ý kiến
disallow	không cho phép
disappear	biến mất
disappearance	biến mất
disappearing	biến mất
disappoint	thất vọng
disappointed	thất vọng
disappointing	thất vọng
disappointment	thất vọng
disapproval	không tán thành
disapprove	không tán thành
disarm	tước vũ khí
disarmament	giải trừ quân bị
disarray	lộn xộn
disassemble	tháo rời
disassociate	tách ra
disaster	thảm họa
disastrous	tai hại
disavow	từ chối
disavowal	từ chối
disband	giải tán
disbelief	sự hoài nghi
disburse	giải ngân
disbursement	giải ngân
disc	đĩa
discard	bỏ đi
discarded	bỏ đi
discern	phân biệt
discernible	có thể nhận biết được
discerning	sáng suốt
discernment	sự phân biệt
discharge	phóng điện
disciple	đệ tử
discipleship	môn đồ hóa
disciplinary	kỷ luật
discipline	kỷ luật
discipline-based	dựa trên kỷ luật
disciplined	kỷ luật
disclaimer	từ chối trách nhiệm
disclose	tiết lộ
disclosure	tiết lộ
disco	sàn nhảy
discomfort	không thoải mái
disconcerting	làm rối trí
disconnect	ngắt kết nối
disconnection	ngắt kết nối
discontent	bất mãn
discontinue	ngưng
discontinuity	sự gián đoạn
discontinuous	không liên tục
discord	bất hòa
discordant	bất hòa
discount	chiết khấu
discounted	chiết khấu
discourage	không khuyến khích
discouragement	chán nản
discouraging	làm nản lòng
discourse	đàm luận
discover	phát hiện
discoverer	người khám phá
discovery	khám phá
discredit	làm mất uy tín
discredited	mất uy tín
discreet	kín đáo
discreetly	kín đáo
discrepancy	sự khác biệt
discrepant	trái ngược nhau
discrete	rời rạc
discretion	sự tùy ý
discretionary	tùy nghi
discriminant	phân biệt đối xử
discriminate	phân biệt
discriminating	phân biệt đối xử
discrimination	phân biệt
discriminatory	phân biệt đối xử
discursive	phân biệt
discuss	bàn luận
discussion	thảo luận
disdain	khinh bỉ
disease	dịch bệnh
diseased	bị bệnh
disembodied	quái gở
disenchanted	tỉnh ngộ
disenchantment	sự thất vọng
disenfranchise	tước quyền
disenfranchised	tước quyền
disengage	buông tha
disengagement	buông tha
disentangle	gỡ rối
disequilibrium	mất cân bằng
disgrace	Ghét bỏ
disgruntled	bất bình
disguise	cải trang
disguised	cải trang
disgust	ghê tởm
disgusted	ghê tởm
disgusting	kinh tởm
dish	món ăn
dishonest	Không trung thực
dishonesty	không trung thực
dishwasher	Máy rửa chén
disillusion	vỡ mộng
disillusionment	vỡ mộng
disincentive	không khuyến khích
disinfect	khử trùng
disinfectant	chất khử trùng
disinfection	khử trùng
disingenuous	không cần thiết
disintegrate	tan rã
disintegration	sự tan rã
disinterest	không quan tâm
disinterested	vô tư
disjointed	rời rạc
disjunction	phân ly
disjuncture	đứt lìa
disk	đĩa
dislike	không thích
dislocate	trật khớp
dislocation	trật khớp
dislodge	đánh bật
disloyalty	không trung thành
dismal	ảm đạm
dismantle	tháo dỡ
dismantling	tháo bỏ
dismay	mất tinh thần
dismemberment	phân chia
dismiss	miễn nhiệm
dismissal	sa thải
dismissive	bác bỏ
disobedience	không vâng lời
disobey	không tuân theo
disorder	rối loạn
disordered	rối loạn
disorderly	mất trật tự
disorganization	sự vô tổ chức
disorganize	vô tổ chức
disorientation	mất phương hướng
disoriented	mất phương hướng
disparage	chê bai
disparaging	chê bai
disparate	khác nhau
disparity	khác biệt
dispatch	gửi đi
dispel	xua tan
dispensation	pha chế
dispense	phân chia
dispenser	máy rút
dispersal	phân tán
disperse	phân tán
dispersed	phân tán
dispersion	sự phân tán
displace	dời chỗ
displaced	dời chỗ
displacement	sự dời chỗ
display	trưng bày
displeasure	không hài lòng
disposable	dùng một lần
disposal	thải bỏ
dispose	vứt bỏ
disposed	xử lý
disposition	bố trí
dispositional	có vị trí
dispossess	không có quyền
dispossession	tước đoạt
disproportionate	không cân xứng
disproportionately	không cân xứng
disprove	bác bỏ
dispute	tranh chấp
disputed	tranh chấp
disqualify	loại
disquieting	không yên
disregard	xem thường
disrespect	không tôn trọng
disrespectful	không tôn trọng
disrupt	làm gián đoạn
disrupted	làm gián đoạn
disruption	gián đoạn
disruptive	gây rối
dissatisfaction	không hài lòng
dissatisfied	không hài lòng
dissect	mổ xẻ
dissection	mổ xẻ
disseminate	phổ biến
dissemination	phổ biến
dissension	sự chia rẽ
dissent	bất đồng quan điểm
dissenter	người bất đồng chính kiến
dissenting	bất đồng quan điểm
dissertation	luận văn
disservice	làm trái ý
dissident	bất đồng chính kiến
dissimilar	không giống nhau
dissimilarity	không giống nhau
dissipate	tiêu tan
dissipation	sự tiêu tán
dissociate	tách ra
dissociation	phân ly
dissolution	giải tán
dissolve	tan biến
dissolved	giải thể
dissonance	sự bất hòa
dissuade	khuyên can
distal	xa
distance	khoảng cách
distant	xa xôi
distaste	không ưa
distasteful	khó chịu
distill	chưng cất
distillation	chưng cất
distinct	riêng biệt
distinction	sự phân biệt
distinctive	đặc biệt
distinctively	đặc biệt
distinctiveness	sự khác biệt
distinctly	rõ ràng
distinctness	sự khác biệt
distinguish	phân biệt
distinguishable	có thể phân biệt được
distinguished	phân biệt
distinguishing	phân biệt
distort	xuyên tạc
distorted	méo mó
distortion	méo mó
distract	đánh lạc hướng
distraction	mất tập trung
distress	phiền muộn
distressed	đau khổ
distressing	đau buồn
distribute	phân phát
distributed	phân phối
distribution	phân bổ
distributional	phân phối
distributive	phân phối
distributor	nhà phân phối
district	quận
district-wide	toàn huyện
distrust	không tin tưởng
disturb	quấy rầy
disturbance	xáo trộn
disturbed	bị làm phiền
disturbing	phiền
ditch	đào mương
dive	lặn
diver	thợ lặn
diverge	phân ra
divergence	phân kỳ
divergent	khác nhau
diverse	phong phú
diversification	đa dạng hóa
diversified	đa dạng
diversify	đa dạng hóa
diversion	chuyển hướng
diversity	đa dạng
divert	chuyển hướng
divest	thoái vốn
divide	chia
divided	chia
dividend	cổ tức
dividing	chia rẽ
divination	thuật bói toán
divine	thần thánh
divinely	thiêng liêng
diviner	người phân chia
diving	lặn
divinity	thần thánh
division	phân công
divisional	sư đoàn
divisive	phân chia
divisiveness	Sự chia rẽ
divorce	ly hôn
divorced	ly hôn
divulge	tiết lộ
dizziness	chóng mặt
dizzy	chóng mặt
dizzying	chóng mặt
DJ	DJ
DNA	DNA
do	làm
Dobsonian	Dobsonian
doc	doc
docile	ngoan ngoãn
dock	bến tàu
docket	dấu ngoặc nhọn
doctor	Bác sĩ
doctoral	tiến sĩ
doctorate	tiến sĩ
doctrinal	giáo lý
doctrine	học thuyết
document	tài liệu
documentary	phim tài liệu
documentation	tài liệu
documented	được ghi lại
dodge	né tránh
dog	chó
dogma	giáo điều
dogmatic	giáo điều
dogmatism	chủ nghĩa giáo điều
doings	doings
do-it-yourself	tự làm
dole	chia
doll	con búp bê
dolphin	cá heo
domain	miền
domain-specific	miền cụ thể
dome	mái vòm
domestic	Nội địa
domestically	trong nước
domesticated	thuần hóa
domestication	sự thuần hóa
domesticity	nội địa
dominance	sự thống trị
dominant	có ưu thế
dominate	thống trị
dominated	thống trị
domination	sự thống trị
Dominican	Người Dominica
dominion	quyền thống trị
domino	domino
don	giảng viên đại học
donate	Quyên tặng
donation	Quyên góp
donkey	con lừa
donor	nhà tài trợ
doom	sự chết
doomed	cam chịu
door	cửa
doorstep	bậc cửa
doorway	ngưỡng cửa
dopamine	dopamine
dorm	ký túc xá
dormant	nằm im
dormitory	ký túc xá
dorsal	lưng
dorsiflexion	dorsiflexion
dosage	liều lượng
dose	liều lượng
dot	dấu chấm
dot-com	dot-com
dotted	say mê
double	kép
double-blind	mù đôi
double-digit	hai chữ số
double-edged	hai lưỡi
doublet	doublet
doubling	nhân đôi
doubly	gấp đôi
doubt	nghi ngờ
doubtful	nghi ngờ
doubtless	không nghi ngờ gì
dough	bột
doughnut	bánh vòng
dove	chim bồ câu
dovetail	khớp
dowel	chốt hạ
down	xuống
downfall	sự sụp đổ
downgrade	hạ cấp
downhill	xuống dốc
download	Tải xuống
downplay	downplay
downright	hết sức
downside	nhược điểm
downsize	giảm kích cỡ
downsizing	thu nhỏ
downstairs	tầng dưới
downstream	hạ lưu
downtime	thời gian chết
downtown	Trung tâm thành phố
downturn	suy thoái
downward	đi xuống
downwind	gió xuôi
dowry	của hồi môn
dozen	tá
draconian	hà khắc
draft	bản thảo
drafter	người soạn thảo
drafting	soạn thảo
drag	lôi kéo
dragon	rồng
drain	làm khô hạn
drainage	thoát nước
drained	ráo nước
drake	vịt đực
dram	dram
drama	kịch
dramatic	kịch
dramatically	đáng kể
dramatist	nhà viết kịch
dramatization	kịch tính hóa
dramatize	kịch hóa
drape	rem
drapery	xếp nếp
drastic	khốc liệt
drastically	quyết liệt
draw	vẽ
drawback	Hạn chế
drawer	ngăn kéo
drawing	đang vẽ
dread	kinh sợ
dreaded	khiếp sợ
dreadful	ghê gớm
dream	mơ ước
dreamer	người mơ mộng
dreary	thê lương
dredge	nạo vét
dredging	nạo vét
dress	đầm
dresser	tủ đựng quần áo
dressing	Cách ăn mặc
dribble	rê bóng
dried	khô
drift	trôi dạt
drill	máy khoan
drilling	khoan
drink	uống
drinker	người uống rượu
drinking	uống rượu
drinking-water	uống nước
drip	nhỏ giọt
drive	lái xe
driven	lái xe
driver	người lái xe
driveway	đường lái xe
driving	điều khiển
drizzle	mưa phùn
drone	máy bay không người lái
drongo	drongo
drop	rơi vãi
drop-in	thả vào
droplet	giọt
drop-off	thả ra
dropout	rơi ra ngoài
dropping	rơi
drought	hạn hán
drown	chết chìm
drudgery	cực nhọc
drug	thuốc uống
drug-related	liên quan đến ma túy
drugstore	nhà thuốc
drum	cái trống
drummer	tay trống
drumming	đánh trống
drunk	say
drunken	say rượu
drunkenness	say rượu
dry	khô
dryer	máy sấy khô
drying	làm khô
dryland	đất khô
dryness	khô
drywall	vách thạch cao
dual	hai
dualism	thuyết nhị nguyên
dualistic	nhị nguyên
duality	tính hai mặt
dub	lồng tiếng
dubious	mơ hồ
duchess	nữ công tước
duck	Vịt
duct	ống dẫn
dude	anh bạn
due	quá hạn
duel	đấu tay đôi
dues	phí
duet	diễn đôi
dugout	đào hầm
duke	công tước
dull	đần độn
duly	hợp lệ
dumb	câm
dumbbell	chuông hư
dummy	hình nộm
dump	bãi rác
dumping	bán phá giá
dune	cồn cát
dung	phân
duo	cặp đôi
dupe	dupe
duplicate	bản sao
duplication	sự trùng lặp
duplicity	sự trùng lặp
durability	Độ bền
durable	bền chặt
duration	khoảng thời gian
duress	cương bưc
during	suốt trong
dusk	hoàng hôn
dust	bụi bặm
dusty	bụi bặm
Dutch	Tiếng hà lan
dutifully	đầy trách nhiệm
duty	nghĩa vụ
dwarf	quỷ lùn
dwell	ở
dweller	người ở
dwelling	trú ngụ
dwindle	teo tóp
dwindling	teo tóp
dyad	đôi
dyadic	loạn luân
dye	thuốc nhuộm
dying	sắp chết
dynamic	năng động
dynamical	động lực học
dynamically	năng động
dynamics	động lực học
dynamism	sự năng động
dynamite	thuốc nổ
dynamo	thuốc nổ
dynastic	triều đại
dynasty	triều đại
dysfunction	rối loạn chức năng
dysfunctional	rối loạn chức năng
dyslexia	chứng khó đọc
dysphagia	Chứng khó nuốt
dysplasia	loạn sản
each	mỗi
eager	háo hức
eagerly	háo hức
eagerness	sự háo hức
eagle	chim ưng
ear	tai
earl	bá tước
early	sớm
early-twentieth-century	đầu thế kỉ hai mươi
earmark	dấu tai
earn	kiếm
earned	kiếm được
earner	người kiếm tiền
earnest	nghiêm trang
earnestly	tha thiết
earnings	thu nhập
earphone	tai nghe
earring	bông tai
earth	Trái đất
earthbound	trái đất
earthen	đất
earth-like	giống như trái đất
earthly	trần thế
earthquake	động đất
earthworm	giun đất
earthy	bằng đất
ease	xoa dịu
easel	giá vẽ
easement	sự dễ dãi
easily	một cách dễ dàng
east	phía đông
Easter	lễ Phục sinh
eastern	phương Đông
eastward	hướng đông
East-West	Đông Tây
easy	dễ
easy-to-use	dễ sử dụng
eat	ăn
eater	người ăn
eating	Ăn
ebb	hạ xuống
e-book	sách điện tử
eccentric	kỳ dị
eccentricity	độ lệch tâm
ecclesial	thuộc về giáo hội
ecclesiastical	thuộc về giáo hội
ecclesiological	giáo hội học
ecclesiology	giáo hội học
echelon	cấp lãnh đạo
echo	tiếng vang
eclectic	chiết trung
eclipse	nhật thực
ecliptic	hoàng đạo
ecological	sinh thái
ecologically	về mặt sinh thái học
ecologist	nhà sinh thái học
ecology	sinh thái học
e-commerce	thương mại điện tử
econometric	kinh tế lượng
economic	thuộc kinh tế
economical	tiết kiệm
economically	kinh tế
economics	Kinh tế học
economist	nhà kinh tế học
economy	kinh tế
ecoregion	vùng sinh thái
ecosystem	hệ sinh thái
ecotourism	du lịch sinh thái
ecstasy	thuốc lắc
ecstatic	ngây ngất
Ecuadorian	Người Ecuador
ecumenical	đại kết
ecumenism	chủ nghĩa đại kết
edema	phù nề
edge	lưỡi sắc
edible	ăn được
edict	sắc lệnh
edifice	dinh thự
edit	chỉnh sửa
edited	đã chỉnh sửa
editing	chỉnh sửa
edition	phiên bản
editor	biên tập viên
editorial	biên tập
editor-in-chief	Tổng biên tập
educate	giáo dục
educated	có học thức
education	giáo dục
educational	giáo dục
educationally	về mặt giáo dục
educator	nhà giáo dục
eel	con lươn
eerie	ghê rợn
eerily	kỳ lạ
efface	hiệu quả
effect	tác dụng
effective	có hiệu lực
effectively	có hiệu quả
effectiveness	hiệu quả
efficacious	có hiệu quả
efficacy	hiệu quả
efficiency	hiệu quả
efficient	Có hiệu quả
efficiently	hiệu quả
effigy	hình nộm
effluent	nước thải
effort	cố gắng
effortless	nỗ lực
effortlessly	dễ dàng
effusion	tràn ra
egalitarian	bình đẳng
egalitarianism	chủ nghĩa quân bình
egg	trứng
eggplant	cà tím
ego	Cái tôi
egocentric	ích kỷ
egoism	chủ nghĩa vị kỷ
egregious	nghiêm trọng
Egyptian	Ai cập
eh	Hở
eigenvalue	giá trị riêng
eight	tám
eighteen	mười tám
eighteenth	thứ mười tám
eighteenth-century	thế kỷ thứ mười tám
eighth	thứ tám
eighth-grade	lớp tám
eight-hour	Tám giờ
eighty	tám mươi
eighty-five	tám mươi lăm
either	một trong hai
ejaculation	xuất tinh
eject	đẩy ra
ejection	sự phóng ra
ejido	ejido
elaborate	kỹ lưỡng
elaborately	công phu
elaboration	công phu
elapse	trôi mau
elastic	đàn hồi
elasticity	độ đàn hồi
elbow	khuỷu tay
elder	đàn anh
elderly	hơi già
eldest	anh cả
elect	trúng tuyển
elected	bầu
election	cuộc bầu cử
elective	tự chọn
elector	cử tri
electoral	bầu cử
electorate	bầu cử
electric	điện
electrical	điện
electrically	điện
electrician	thợ điện
electricity	điện
electrochemical	điện hóa
electrode	điện cực
electrolyte	chất điện giải
electromagnetic	điện từ
electromechanical	cơ điện
electron	điện tử
electronic	điện tử
electronically	điện tử
electronics	thiết bị điện tử
electrostatic	tĩnh điện
elegance	sang trọng
elegant	tao nhã
elegantly	thanh lịch
elegy	cao
element	yếu tố
elemental	thuộc về nguyên tố
elementary	sơ cấp
elephant	con voi
elevate	nâng
elevated	cao
elevation	độ cao
elevator	thang máy
eleven	mười một
eleventh	thứ mười một
elf	gia tinh
elicit	gợi ra
eligibility	đủ điều kiện
eligible	đạt chuẩn
eliminate	loại bỏ
elimination	sự loại bỏ
elite	Thượng lưu
elitism	tinh hoa
elitist	người theo thuyết tinh hoa
elk	nai sừng tấm
ellipse	hình elip
elliptical	hình elip
elm	cây du
elongated	kéo dài
elongation	sự kéo dài
eloquence	tài hùng biện
eloquent	hùng biện
eloquently	Hùng hồn
else	khác
elsewhere	nơi khác
elucidate	Làm sáng tỏ
elude	trốn tránh
elusive	khó nắm bắt
e-mail	e-mail
emanate	phát ra
emancipate	giải phóng
emancipation	sự giải phóng
embankment	kè
embargo	cấm vận
embark	tham gia
embarrass	lúng túng
embarrassed	lúng túng
embarrassing	xấu hổ
embarrassment	sự lúng túng
embassy	đại sứ quán
embattled	mắc kẹt
embed	nhúng
embedded	nhúng vào
embedding	nhúng
embellish	tôn tạo
embellishment	sự chỉnh trang
emblazon	đeo huy chương
emblem	biểu tượng
emblematic	tiêu biểu
embodiment	hiện thân
embody	hiện thân
embolden	embolden
embrace	ôm hôn
embroider	thêu
embroidered	thêu
embroidery	nghề thêu
embroil	thêu dệt
embryo	phôi thai
embryonic	phôi thai
emerald	ngọc lục bảo
emerge	hiện ra
emergence	sự xuất hiện
emergency	khẩn cấp
emergent	nổi lên
emerging	mới nổi
emeritus	danh dự
emigrant	người di cư
emigrate	di cư
emigration	di cư
emigre	di cư
eminence	xuất chúng
eminent	lỗi lạc
eminently	xuất sắc
emir	tiểu vương
emissary	sứ giả
emission	khí thải
emit	phát ra
emitter	người phát ra
emotion	cảm xúc
emotional	đa cảm
emotionality	tình cảm
emotionally	tình cảm
emotive	giàu cảm xúc
empathetic	đồng cảm
empathic	đồng cảm
empathize	đồng cảm
empathy	sự đồng cảm
emperor	Hoàng đế
emphasis	nhấn mạnh
emphasize	nhấn mạnh
emphatic	nhấn mạnh
emphatically	dứt khoát
emphysema	Khí phổi thủng
empire	đế chế
empirical	theo kinh nghiệm
empirically	theo kinh nghiệm
empiricism	chủ nghĩa kinh nghiệm
empiricist	người theo chủ nghĩa kinh nghiệm
employ	thuê
employed	làm thuê
employee	Nhân viên
employer	người thuê lao động
employment	thuê người làm
empower	trao quyền
empowered	được trao quyền
empowering	trao quyền
empowerment	Trao quyền
empress	hoàng hậu
emptiness	trống rỗng
empty	trống
emu	Đà điểu
emulate	thi đua
emulation	thi đua
emulsion	nhũ tương
enable	cho phép
enabler	người ban hành
enabling	cho phép
enact	ban hành
enactment	sự ban hành
enamel	men
encampment	sự bao bọc
encapsulate	gói lại
encase	bao bọc
enchantment	mê hoặc
encircle	bao vây
enclave	bao bọc
enclose	bao bọc
enclosed	gửi kèm
enclosure	bao vây
encode	mã hóa
encoder	mã hoá
encompass	bao trùm
encore	encore
encounter	gặp gỡ
encourage	khuyến khích
encouragement	sự khuyến khích
encouraging	khích lệ
encroach	lấn sân
encroachment	sự xâm phạm
encrypt	mã hóa
encryption	mã hóa
encyclical	thông điệp
encyclopedia	Bách Khoa toàn thư
encyclopedic	bách khoa toàn thư
end	kết thúc
endanger	nguy hiểm
endangered	nguy cơ tuyệt chủng
endangerment	nguy hiểm
endeavor	nỗ lực
endemic	đặc hữu
ending	kết thúc
endless	bất tận
endlessly	không ngừng
endocrine	Nội tiết
end-of-life	cuối đời
endogenous	nội sinh
endolymphatic	endolymphatic
endometrial	nội mạc tử cung
endorphin	endorphin
endorse	chứng thực
endorsement	sự chứng thực
endoscope	ống nội soi
endoscopic	Nội soi
endoscopy	nội soi
endothelial	nội mô
endotoxin	nội độc tố
endow	cho
endowment	sự ban cho
endpoint	điểm cuối
